Subject,SubjectID,Condition ,Trial,recall_order,current_day,trial_day,trial_time,day_no,days_past,trial,RT,condition_time_box,Response,Total Number of People,Unique Within Day,Unique Overall,Specific Description,Vague Description,Vague.Unique.Overall,Vague.Unique.Day,Specific.Unique.Overall,Specific.Unique.Day,Plural.Exists,Only.Number.Exists
1001,4k6754ce3x,BF,backward,1,Monday,Monday,evening,1,1,1,40419.185,Evening (after 6 pm),"My mom, my dad, my sister",3,3,3,3,0,0,0,3,3,,
1001,4k6754ce3x,BF,backward,1,Monday,Monday,midday,1,1,2,24491.365,Midday (noon - 6 pm),"my mom, my dad, my sister, the lady that did my eyebrows",4,4,4,3,1,1,1,3,3,,
1001,4k6754ce3x,BF,backward,1,Monday,Monday,morning,1,1,3,17016.03,Morning (until noon),"my mom, my dad, my sister",3,2,2,3,0,0,0,2,2,,
1001,4k6754ce3x,BF,backward,1,Monday,Sunday,evening,2,2,4,13914.81,Evening (after 6 pm),my roommate,1,1,1,1,0,0,0,1,1,,
1001,4k6754ce3x,BF,backward,1,Monday,Sunday,midday,2,2,5,32196.14,Midday (noon - 6 pm),my roommate,1,0,0,1,0,0,0,0,0,,
1001,4k6754ce3x,BF,backward,1,Monday,Sunday,morning,2,2,6,4309.590001,Morning (until noon),my roommate,1,1,1,1,0,0,0,1,1,,
1001,4k6754ce3x,BF,backward,1,Monday,Saturday,evening,3,3,7,6563.295,Evening (after 6 pm),my roommate,1,1,0,1,0,0,0,0,1,,
1001,4k6754ce3x,BF,backward,1,Monday,Saturday,midday,3,3,8,27959.395,Midday (noon - 6 pm),my roommate,1,0,0,1,0,0,0,0,0,,
1001,4k6754ce3x,BF,backward,1,Monday,Saturday,morning,3,3,9,11676.84,Morning (until noon),my roommate,1,0,0,1,0,0,0,0,0,,
1001,4k6754ce3x,BF,backward,1,Monday,Friday,evening,4,4,10,6989.244999,Evening (after 6 pm),my roommate,1,1,1,1,0,0,0,1,1,,
1001,4k6754ce3x,BF,backward,1,Monday,Friday,midday,4,4,11,3366.154999,Midday (noon - 6 pm),my roommate,1,0,0,1,0,0,0,0,0,,
1001,4k6754ce3x,BF,backward,1,Monday,Friday,morning,4,4,12,3469.815,Morning (until noon),my roommate,1,0,0,1,0,0,0,0,0,,
1001,4k6754ce3x,BF,forward,2,Monday,Friday,morning,4,1,13,32333.08,Morning (until noon),"my roommate, person at dining hall packing my food",2,2,2,1,1,1,1,1,1,,
1001,4k6754ce3x,BF,forward,2,Monday,Friday,midday,4,1,14,5608.48,Midday (noon - 6 pm),my roommate,1,0,0,1,0,0,0,0,0,,
1001,4k6754ce3x,BF,forward,2,Monday,Friday,evening,4,1,15,3378.425,Evening (after 6 pm),my roommate,1,1,1,1,0,0,0,1,1,,
1001,4k6754ce3x,BF,forward,2,Monday,Saturday,morning,3,2,16,19484.4,Morning (until noon),"my roommate, person at dining hall packing my food",2,2,0,1,1,0,0,0,2,,
1001,4k6754ce3x,BF,forward,2,Monday,Saturday,midday,3,2,17,6884.245,Midday (noon - 6 pm),my roommate,1,0,0,1,0,0,0,0,0,,
1001,4k6754ce3x,BF,forward,2,Monday,Saturday,evening,3,2,18,3153.16,Evening (after 6 pm),my roommate,1,0,0,1,0,0,0,0,0,,
1001,4k6754ce3x,BF,forward,2,Monday,Sunday,morning,2,3,19,6304.795001,Morning (until noon),my roommate,1,1,1,1,0,0,0,1,1,,
1001,4k6754ce3x,BF,forward,2,Monday,Sunday,midday,2,3,20,3630.855001,Midday (noon - 6 pm),my roommate,1,0,0,1,0,0,0,0,0,,
1001,4k6754ce3x,BF,forward,2,Monday,Sunday,evening,2,3,21,27606.34,Evening (after 6 pm),"my mom, my dad, my sister",3,2,1,3,0,0,0,1,2,,
1001,4k6754ce3x,BF,forward,2,Monday,Monday,morning,1,4,22,7423.53,Morning (until noon),"my mom, my dad, my sister",3,3,1,3,0,0,0,1,3,,
1001,4k6754ce3x,BF,forward,2,Monday,Monday,midday,1,4,23,9112.865,Midday (noon - 6 pm),"my mom, my dad, my sister",3,0,0,3,0,0,0,0,0,,
1001,4k6754ce3x,BF,forward,2,Monday,Monday,evening,1,4,24,14449.35,Evening (after 6 pm),"my mom, my dad, my sister, the lady doing my eyebrows",4,1,1,3,1,0,1,1,0,,
1002,4t7v6dty74,BB,backward,1,Saturday,Saturday,evening,1,1,1,33214.69,Evening (after 6 pm),"best friend at isr, 2 friends at isr",3,3,3,3,0,0,0,3,3,,
1002,4t7v6dty75,BB,backward,1,Saturday,Saturday,midday,1,1,2,14006.97,Midday (noon - 6 pm),best friend,1,1,1,1,0,0,0,1,1,,
1002,4t7v6dty76,BB,backward,1,Saturday,Saturday,morning,1,1,3,11198.705,Morning (until noon),2 friends at apartment,2,2,2,2,0,0,0,2,2,,
1002,4t7v6dty77,BB,backward,1,Saturday,Friday,evening,2,2,4,8225.31,Evening (after 6 pm),parents,2,2,2,2,0,0,0,2,2,,
1002,4t7v6dty78,BB,backward,1,Saturday,Friday,midday,2,2,5,4100.915,Midday (noon - 6 pm),parents,2,1,0,2,0,0,0,0,1,,
1002,4t7v6dty79,BB,backward,1,Saturday,Friday,morning,2,2,6,6380.375,Morning (until noon),mom,1,0,0,1,0,0,0,0,0,,
1002,4t7v6dty80,BB,backward,1,Saturday,Thursday,evening,3,3,7,3511.835,Evening (after 6 pm),parents,2,2,0,2,0,0,0,0,2,,
1002,4t7v6dty81,BB,backward,1,Saturday,Thursday,midday,3,3,8,4702.57,Midday (noon - 6 pm),xx,0,0,0,0,0,0,0,0,0,,
1002,4t7v6dty82,BB,backward,1,Saturday,Thursday,morning,3,3,9,2630.58,Morning (until noon),xx,0,0,0,0,0,0,0,0,0,,
1002,4t7v6dty83,BB,backward,1,Saturday,Wednesday,evening,4,4,10,3497.72,Evening (after 6 pm),parents,2,2,0,2,0,0,0,0,2,,
1002,4t7v6dty84,BB,backward,1,Saturday,Wednesday,midday,4,4,11,2296.855,Midday (noon - 6 pm),xx,0,0,0,0,0,0,0,0,0,,
1002,4t7v6dty85,BB,backward,1,Saturday,Wednesday,morning,4,4,12,1696.25,Morning (until noon),xx,0,0,0,0,0,0,0,0,0,,
1002,4t7v6dty86,BB,backward,2,Saturday,Saturday,evening,1,1,13,18533.64,Evening (after 6 pm),"best friend at isr, 2 friends at isr",3,3,3,3,0,0,0,3,3,,
1002,4t7v6dty87,BB,backward,2,Saturday,Saturday,midday,1,1,14,12151.805,Midday (noon - 6 pm),2 friends at apartment,2,0,0,2,0,0,0,0,0,,
1002,4t7v6dty88,BB,backward,2,Saturday,Saturday,morning,1,1,15,4747.59,Morning (until noon),xx,0,0,0,0,0,0,0,0,0,,
1002,4t7v6dty89,BB,backward,2,Saturday,Friday,evening,2,2,16,3972.355,Evening (after 6 pm),parents,2,2,0,2,0,0,0,0,2,,
1002,4t7v6dty90,BB,backward,2,Saturday,Friday,midday,2,2,17,3005.355,Midday (noon - 6 pm),xx,0,0,0,0,0,0,0,0,0,,
1002,4t7v6dty91,BB,backward,2,Saturday,Friday,morning,2,2,18,2225.285,Morning (until noon),xx,0,0,0,0,0,0,0,0,0,,
