Subject,SubjectID,Condition,trial_day,trial_time,trial_condition,experiment_day,days_past,day_no,RT,condition_time_box,Response,Total Number of Names,Unique Within Day,Unique Overall,Specific Description,Vague Description,Vague.Unique.Overall,Vague.Unique.Day,Specific.Unique.Overall,Specific.Unique.Day,Plural Exists,Only Number Exists
2001,0b1sbg37w2,BAR,Tuesday,evening,backward,Tuesday,0,0,58478.2,Evening (after 6 pm),xx,0,0,0,0,0,0,0,0,0,,
2001,0b1sbg37w2,BAR,Tuesday,midday,backward,Tuesday,0,0,65087.3,Midday (noon - 6 pm),"brooke, hope, katie, Ta from Las, two girls from las, girl help find her class, Mom",9,9,9,6,3,3,3,6,6,,
2001,0b1sbg37w2,BAR,Tuesday,morning,backward,Tuesday,0,0,9462.7,Morning (until noon),"brooke, katie",3,3,3,3,0,0,0,3,3,,
2001,0b1sbg37w2,BAR,Monday,evening,backward,Tuesday,1,1,37030.4,Evening (after 6 pm),"brooke, katie, maddie, willow, emma",5,5,3,5,0,0,0,3,5,,
2001,0b1sbg37w2,BAR,Monday,midday,backward,Tuesday,1,1,33858.5,Midday (noon - 6 pm),"brooke, maddie, TA for Chem, 4 girls at my table for chem",7,5,2,3,4,0,4,2,1,,
2001,0b1sbg37w2,BAR,Monday,morning,backward,Tuesday,1,1,19358.5,Morning (until noon),katie,1,0,0,1,0,0,0,0,0,,
2001,0b1sbg37w2,BAR,Sunday,evening,backward,Tuesday,2,2,17538.3,Evening (after 6 pm),"brooke, katie",2,0,0,2,0,0,0,0,0,,
2001,0b1sbg37w2,BAR,Sunday,midday,backward,Tuesday,2,2,14001.7,Midday (noon - 6 pm),"brooke, katie",2,2,1,2,0,0,0,1,2,,
2001,0b1sbg37w2,BAR,Sunday,morning,backward,Tuesday,2,2,10976.7,Morning (until noon),katie,1,0,0,1,0,0,0,0,0,,
2001,0b1sbg37w2,BAR,Saturday,evening,backward,Tuesday,3,3,10709.6,Evening (after 6 pm),"brooke, katie",2,2,1,2,0,0,0,1,2,,
2001,0b1sbg37w2,BAR,Saturday,midday,backward,Tuesday,3,3,11346.2,Midday (noon - 6 pm),"brooke, katie",2,0,0,2,0,0,0,0,0,,
2001,0b1sbg37w2,BAR,Saturday,morning,backward,Tuesday,3,3,4738,Morning (until noon),xx,0,0,0,0,0,0,0,0,0,,
2002,0letmqku6q,FOR,Sunday,morning,forward,Wednesday,3,0,36639.7,Morning (until noon),"Sasha, A waiter at Bangkok Thai ",8,8,8,7,1,1,1,7,7,,
2002,0letmqku6q,FOR,Sunday,midday,forward,Wednesday,3,0,10543.2,Midday (noon - 6 pm),Sasha,1,0,0,1,0,0,0,0,0,,
2002,0letmqku6q,FOR,Sunday,evening,forward,Wednesday,3,0,3715.7,Evening (after 6 pm),Sasha,1,0,0,1,0,0,0,0,0,,
2002,0letmqku6q,FOR,Monday,morning,forward,Wednesday,2,1,20435.3,Morning (until noon),Sasha,1,1,0,1,0,0,0,0,1,,
2002,0letmqku6q,FOR,Monday,midday,forward,Wednesday,2,1,9026,Midday (noon - 6 pm),"Sasha, Jessica, Violet",3,2,2,3,0,0,0,2,2,,
2002,0letmqku6q,FOR,Monday,evening,forward,Wednesday,2,1,8300.3,Evening (after 6 pm),Sasha,1,0,0,1,0,0,0,0,0,,
2002,0letmqku6q,FOR,Tuesday,morning,forward,Wednesday,1,2,11305.4,Morning (until noon),Sasha,1,1,0,1,0,0,0,0,1,,
