,Subject,Condition,Trial,Time_Box,Days_Past,RT,Total.Number.of.People,Unique.Within.Day,Unique.Overall,Specific.Description,Vague.Description
1,2001,Backward Recall,backward,evening,1,58478.2,0,0,0,0,0
2,2001,Backward Recall,backward,midday,1,65087.3,9,9,9,6,3
3,2001,Backward Recall,backward,morning,1,9462.7,3,3,3,3,0
4,2001,Backward Recall,backward,evening,2,37030.4,5,5,3,5,0
5,2001,Backward Recall,backward,midday,2,33858.5,7,5,2,3,4
6,2001,Backward Recall,backward,morning,2,19358.5,1,0,0,1,0
7,2001,Backward Recall,backward,evening,3,17538.3,2,0,0,2,0
8,2001,Backward Recall,backward,midday,3,14001.7,2,2,1,2,0
9,2001,Backward Recall,backward,morning,3,10976.7,1,0,0,1,0
10,2001,Backward Recall,backward,evening,4,10709.6,2,2,1,2,0
11,2001,Backward Recall,backward,midday,4,11346.2,2,0,0,2,0
12,2001,Backward Recall,backward,morning,4,4738,0,0,0,0,0
13,2002,Forward Recall,forward,morning,4,36639.7,8,8,8,7,1
14,2002,Forward Recall,forward,midday,4,10543.2,1,0,0,1,0
15,2002,Forward Recall,forward,evening,4,3715.7,1,0,0,1,0
16,2002,Forward Recall,forward,morning,3,20435.3,1,1,0,1,0
17,2002,Forward Recall,forward,midday,3,9026,3,2,2,3,0
18,2002,Forward Recall,forward,evening,3,8300.3,1,0,0,1,0
19,2002,Forward Recall,forward,morning,2,11305.4,1,1,0,1,0
20,2002,Forward Recall,forward,midday,2,31276.1,9,8,6,9,0
21,2002,Forward Recall,forward,evening,2,4689.2,1,0,0,1,0
22,2002,Forward Recall,forward,morning,1,10362.5,1,1,0,1,0
23,2002,Forward Recall,forward,midday,1,25834.9,7,7,5,7,0
24,2002,Forward Recall,forward,evening,1,4257,1,0,0,1,0
25,2003,Free Recall,FR,FR,1,134890.4,12,0,12,12,0
26,2004,Free Recall,FR,FR,1,147797.1,4,0,4,1,3
27,2005,Forward Recall,forward,midday,4,50982.2,8,8,8,8,0
28,2005,Forward Recall,forward,evening,4,38830,10,7,10,10,0
29,2005,Forward Recall,forward,morning,3,20942.5,4,2,2,4,0
30,2005,Forward Recall,forward,midday,3,45285.5,8,8,4,5,0
31,2005,Forward Recall,forward,evening,3,12378.2,4,0,0,4,0
32,2005,Forward Recall,forward,morning,2,10649.5,4,2,0,4,0
33,2005,Forward Recall,forward,midday,2,11626.8,5,5,1,5,0
34,2005,Forward Recall,forward,evening,2,23601.2,12,7,7,12,0
35,2005,Forward Recall,forward,morning,1,16765.2,4,4,2,4,0
36,2005,Forward Recall,forward,midday,1,7087.5,1,1,0,1,0
37,2005,Forward Recall,forward,evening,1,7999.6,2,1,0,2,0
38,2006,Forward Recall,forward,morning,4,18677,1,1,1,1,0
39,2006,Forward Recall,forward,midday,4,15270,4,4,4,4,0
40,2006,Forward Recall,forward,evening,4,9609,4,4,4,2,0
41,2006,Forward Recall,forward,morning,3,8206,1,1,1,1,0
42,2006,Forward Recall,forward,midday,3,4644,2,2,2,2,0
43,2006,Forward Recall,forward,evening,3,4058,2,2,0,2,0
44,2006,Forward Recall,forward,morning,2,11309,1,1,0,1,0
45,2006,Forward Recall,forward,midday,2,28951,4,4,4,4,0
46,2006,Forward Recall,forward,evening,2,4016,2,0,0,2,0
47,2006,Forward Recall,forward,morning,1,16108,3,3,3,3,0
48,2006,Forward Recall,forward,midday,1,8208,0,0,0,0,0
49,2006,Forward Recall,forward,evening,1,8341,0,0,0,0,0
50,2007,Backward Recall,backward,evening,1,22788.8,4,4,4,4,0
51,2007,Backward Recall,backward,midday,1,24866.9,6,3,3,6,0
52,2007,Backward Recall,backward,morning,1,6396.6,2,1,1,2,0
53,2007,Backward Recall,backward,evening,2,42205.4,6,6,2,6,0
54,2007,Backward Recall,backward,midday,2,16449.8,3,1,0,3,0
55,2007,Backward Recall,backward,morning,2,14319.7,3,0,0,3,0
56,2007,Backward Recall,backward,evening,3,12743.2,4,4,1,4,0
57,2007,Backward Recall,backward,midday,3,6858.7,1,0,0,1,0
58,2007,Backward Recall,backward,morning,3,11179.8,1,0,0,1,0
59,2007,Backward Recall,backward,evening,4,7683.7,2,2,0,2,0
60,2007,Backward Recall,backward,midday,4,17726.5,2,0,0,2,0
61,2007,Backward Recall,backward,morning,4,8789.4,2,0,0,3,0
62,2008,Forward Recall,forward,morning,4,27907.2,12,12,12,12,0
63,2008,Forward Recall,forward,midday,4,9822.4,3,3,2,3,0
64,2008,Forward Recall,forward,evening,4,23027.9,7,5,5,7,0
65,2008,Forward Recall,forward,morning,3,6940.1,2,2,0,2,0
66,2008,Forward Recall,forward,midday,3,4115.4,2,0,0,2,0
67,2008,Forward Recall,forward,evening,3,5679,3,1,1,3,0
68,2008,Forward Recall,forward,morning,2,5081.4,2,2,0,2,0
69,2008,Forward Recall,forward,midday,2,15774.5,9,7,4,9,0
70,2008,Forward Recall,forward,evening,2,3364.2,2,0,0,2,0
71,2008,Forward Recall,forward,morning,1,5928.4,2,2,0,2,0
72,2008,Forward Recall,forward,midday,1,7262.6,0,0,0,0,0
73,2008,Forward Recall,forward,evening,1,9291.8,0,0,0,0,0
74,2009,Backward Recall,backward,evening,1,46063.8,6,6,6,6,0
75,2009,Backward Recall,backward,midday,1,140282.9,6,3,3,3,3
76,2009,Backward Recall,backward,morning,1,18090.2,3,0,0,3,0
77,2009,Backward Recall,backward,evening,2,24309.7,3,3,0,3,0
78,2009,Backward Recall,backward,midday,2,42330.7,4,1,1,3,1
79,2009,Backward Recall,backward,morning,2,6927.3,3,0,0,3,0
80,2009,Backward Recall,backward,evening,3,10685.8,3,3,0,3,0
81,2009,Backward Recall,backward,midday,3,6107.2,3,0,0,3,0
82,2009,Backward Recall,backward,morning,3,5544.3,3,0,0,3,0
83,2009,Backward Recall,backward,evening,4,22901.3,3,3,0,3,0
84,2009,Backward Recall,backward,midday,4,27990.7,5,2,1,3,2
85,2009,Backward Recall,backward,morning,4,7960.2,3,0,0,3,0
86,2010,Free Recall,FR,FR,1,77725,13,0,13,12,1
87,2011,Free Recall,FR,FR,1,139901.7,7,0,7,4,3
88,2012,Backward Recall,backward,evening,1,49277.6,0,0,0,0,0
89,2012,Backward Recall,backward,midday,1,15496.6,3,3,3,3,0
90,2012,Backward Recall,backward,morning,1,8544.4,4,2,2,2,0
91,2012,Backward Recall,backward,evening,2,10696.6,2,2,0,2,0
92,2012,Backward Recall,backward,midday,2,12211.4,2,0,0,2,0
93,2012,Backward Recall,backward,morning,2,5836.1,2,0,0,2,0
94,2012,Backward Recall,backward,evening,3,11387.8,2,2,0,2,0
95,2012,Backward Recall,backward,midday,3,14155.5,4,2,2,4,0
96,2012,Backward Recall,backward,morning,3,7853,2,0,0,2,0
97,2012,Backward Recall,backward,evening,4,5322.7,2,2,0,2,0
98,2012,Backward Recall,backward,midday,4,4510.3,2,0,0,2,0
99,2012,Backward Recall,backward,morning,4,4918.4,2,0,0,2,0
100,2013,Forward Recall,forward,morning,4,33612,4,4,4,4,0
