"","Subject","Condition","Trial","Days_Past","Recall_Order","Total.Number.of.People","Unique.Within.Day","Unique.Overall","Specific.Description","Specific.Unique.Overall","Specific.Unique.Day","Vague.Description","Vague.Unique.Overall","Vague.Unique.Day"
"1",1001,"BF","backward",1,1,3,3,3,3,3,3,0,0,0
"2",1001,"BF","backward",1,1,4,4,4,3,3,3,1,1,1
"3",1001,"BF","backward",1,1,3,2,2,3,2,2,0,0,0
"4",1001,"BF","backward",2,1,1,1,1,1,1,1,0,0,0
"5",1001,"BF","backward",2,1,1,0,0,1,0,0,0,0,0
"6",1001,"BF","backward",2,1,1,1,1,1,1,1,0,0,0
"7",1001,"BF","backward",3,1,1,1,0,1,0,1,0,0,0
"8",1001,"BF","backward",3,1,1,0,0,1,0,0,0,0,0
"9",1001,"BF","backward",3,1,1,0,0,1,0,0,0,0,0
"10",1001,"BF","backward",4,1,1,1,1,1,1,1,0,0,0
"11",1001,"BF","backward",4,1,1,0,0,1,0,0,0,0,0
"12",1001,"BF","backward",4,1,1,0,0,1,0,0,0,0,0
"13",1001,"BF","forward",1,2,2,2,2,1,1,1,1,1,1
"14",1001,"BF","forward",1,2,1,0,0,1,0,0,0,0,0
"15",1001,"BF","forward",1,2,1,1,1,1,1,1,0,0,0
"16",1001,"BF","forward",2,2,2,2,0,1,0,2,1,0,0
"17",1001,"BF","forward",2,2,1,0,0,1,0,0,0,0,0
"18",1001,"BF","forward",2,2,1,0,0,1,0,0,0,0,0
"19",1001,"BF","forward",3,2,1,1,1,1,1,1,0,0,0
"20",1001,"BF","forward",3,2,1,0,0,1,0,0,0,0,0
"21",1001,"BF","forward",3,2,3,2,1,3,1,2,0,0,0
"22",1001,"BF","forward",4,2,3,3,1,3,1,3,0,0,0
"23",1001,"BF","forward",4,2,3,0,0,3,0,0,0,0,0
"24",1001,"BF","forward",4,2,4,1,1,3,1,0,1,0,1
"25",1002,"BB","backward",1,1,3,3,3,3,3,3,0,0,0
"26",1002,"BB","backward",1,1,1,1,1,1,1,1,0,0,0
"27",1002,"BB","backward",1,1,2,2,2,2,2,2,0,0,0
"28",1002,"BB","backward",2,1,2,2,2,2,2,2,0,0,0
"29",1002,"BB","backward",2,1,2,1,0,2,0,1,0,0,0
"30",1002,"BB","backward",2,1,1,0,0,1,0,0,0,0,0
"31",1002,"BB","backward",3,1,2,2,0,2,0,2,0,0,0
"32",1002,"BB","backward",3,1,0,0,0,0,0,0,0,0,0
"33",1002,"BB","backward",3,1,0,0,0,0,0,0,0,0,0
"34",1002,"BB","backward",4,1,2,2,0,2,0,2,0,0,0
"35",1002,"BB","backward",4,1,0,0,0,0,0,0,0,0,0
"36",1002,"BB","backward",4,1,0,0,0,0,0,0,0,0,0
"37",1002,"BB","backward",1,2,3,3,3,3,3,3,0,0,0
"38",1002,"BB","backward",1,2,2,0,0,2,0,0,0,0,0
"39",1002,"BB","backward",1,2,0,0,0,0,0,0,0,0,0
"40",1002,"BB","backward",2,2,2,2,0,2,0,2,0,0,0
"41",1002,"BB","backward",2,2,0,0,0,0,0,0,0,0,0
"42",1002,"BB","backward",2,2,0,0,0,0,0,0,0,0,0
"43",1002,"BB","backward",3,2,2,2,0,2,0,2,0,0,0
"44",1002,"BB","backward",3,2,0,0,0,0,0,0,0,0,0
"45",1002,"BB","backward",3,2,0,0,0,0,0,0,0,0,0
"46",1002,"BB","backward",4,2,2,2,0,2,0,2,0,0,0
"47",1002,"BB","backward",4,2,0,0,0,0,0,0,0,0,0
"48",1002,"BB","backward",4,2,0,0,0,0,0,0,0,0,0
"49",1003,"BF","backward",1,1,4,4,4,4,4,4,0,0,0
"50",1003,"BF","backward",1,1,3,2,2,3,2,2,0,0,0
"51",1003,"BF","backward",1,1,2,2,2,2,2,2,0,0,0
"52",1003,"BF","backward",2,1,2,2,0,2,0,2,0,0,0
"53",1003,"BF","backward",2,1,2,0,0,2,0,0,0,0,0
"54",1003,"BF","backward",2,1,2,0,0,2,0,0,0,0,0
"55",1003,"BF","backward",3,1,2,2,1,2,1,2,0,0,0
"56",1003,"BF","backward",3,1,2,0,0,2,0,0,0,0,0
"57",1003,"BF","backward",3,1,2,0,0,2,0,0,0,0,0
"58",1003,"BF","backward",4,1,3,3,1,3,1,3,0,0,0
"59",1003,"BF","backward",4,1,3,0,0,3,0,0,0,0,0
"60",1003,"BF","backward",4,1,2,0,0,2,0,0,0,0,0
"61",1003,"BF","forward",1,2,2,2,0,2,0,2,0,0,0
"62",1003,"BF","forward",1,2,3,1,1,3,1,1,0,0,0
"63",1003,"BF","forward",1,2,4,2,0,4,0,2,0,0,0
"64",1003,"BF","forward",2,2,2,2,0,2,0,2,0,0,0
"65",1003,"BF","forward",2,2,2,0,0,2,0,0,0,0,0
"66",1003,"BF","forward",2,2,3,1,0,3,0,1,0,0,0
"67",1003,"BF","forward",3,2,2,2,0,2,0,2,0,0,0
"68",1003,"BF","forward",3,2,2,0,0,2,0,0,0,0,0
"69",1003,"BF","forward",3,2,3,1,0,3,0,1,0,0,0
"70",1003,"BF","forward",4,2,2,2,0,2,0,2,0,0,0
"71",1003,"BF","forward",4,2,3,1,1,3,1,1,0,0,0
"72",1003,"BF","forward",4,2,2,0,0,2,0,0,0,0,0
"73",1004,"FB","forward",4,1,1,1,1,1,1,1,0,0,0
"74",1004,"FB","forward",4,1,2,2,2,2,2,2,0,0,0
"75",1004,"FB","forward",4,1,2,1,1,2,1,1,0,0,0
"76",1004,"FB","forward",3,1,1,1,0,1,0,1,0,0,0
"77",1004,"FB","forward",3,1,2,1,1,2,1,1,0,0,0
"78",1004,"FB","forward",3,1,0,0,0,0,0,0,0,0,0
"79",1004,"FB","forward",2,1,2,2,0,2,0,2,0,0,0
"80",1004,"FB","forward",2,1,2,0,0,2,0,0,0,0,0
"81",1004,"FB","forward",2,1,0,0,0,0,0,0,0,0,0
"82",1004,"FB","forward",1,1,2,2,1,2,1,2,0,0,0
"83",1004,"FB","forward",1,1,2,0,0,2,0,0,0,0,0
"84",1004,"FB","forward",1,1,0,0,0,0,0,0,0,0,0
"85",1004,"FB","backward",1,2,0,0,0,0,0,0,0,0,0
"86",1004,"FB","backward",1,2,2,2,0,2,0,2,0,0,0
"87",1004,"FB","backward",1,2,2,0,0,2,0,0,0,0,0
"88",1004,"FB","backward",2,2,2,2,0,2,0,2,0,0,0
"89",1004,"FB","backward",2,2,2,0,0,2,0,0,0,0,0
"90",1004,"FB","backward",2,2,2,0,0,2,0,0,0,0,0
"91",1004,"FB","backward",3,2,0,0,0,0,0,0,0,0,0
"92",1004,"FB","backward",3,2,2,2,0,2,0,2,0,0,0
"93",1004,"FB","backward",3,2,1,0,0,1,0,0,0,0,0
"94",1004,"FB","backward",4,2,2,2,0,2,0,2,0,0,0
"95",1004,"FB","backward",4,2,2,0,0,2,0,0,0,0,0
"96",1004,"FB","backward",4,2,1,0,0,1,0,0,0,0,0
"97",1005,"FF","forward",4,1,0,0,0,0,0,0,0,0,0
"98",1005,"FF","forward",4,1,0,0,0,0,0,0,0,0,0
"99",1005,"FF","forward",4,1,0,0,0,0,0,0,0,0,0
"100",1005,"FF","forward",3,1,1,1,1,1,1,1,0,0,0
"101",1005,"FF","forward",3,1,1,1,1,1,1,1,0,0,0
"102",1005,"FF","forward",3,1,1,0,0,1,0,0,0,0,0
"103",1005,"FF","forward",2,1,0,0,0,0,0,0,0,0,0
"104",1005,"FF","forward",2,1,0,0,0,0,0,0,0,0,0
"105",1005,"FF","forward",2,1,0,0,0,0,0,0,0,0,0
"106",1005,"FF","forward",1,1,0,0,0,0,0,0,0,0,0
"107",1005,"FF","forward",1,1,0,0,0,0,0,0,0,0,0
"108",1005,"FF","forward",1,1,0,0,0,0,0,0,0,0,0
"109",1005,"FF","forward",4,2,0,0,0,0,0,0,0,0,0
"110",1005,"FF","forward",4,2,0,0,0,0,0,0,0,0,0
"111",1005,"FF","forward",4,2,0,0,0,0,0,0,0,0,0
"112",1005,"FF","forward",3,2,1,1,1,1,1,1,0,0,0
"113",1005,"FF","forward",3,2,1,0,0,1,0,0,0,0,0
"114",1005,"FF","forward",3,2,1,0,0,1,0,0,0,0,0
"115",1005,"FF","forward",2,2,0,0,0,0,0,0,0,0,0
"116",1005,"FF","forward",2,2,0,0,0,0,0,0,0,0,0
"117",1005,"FF","forward",2,2,0,0,0,0,0,0,0,0,0
"118",1005,"FF","forward",1,2,0,0,0,0,0,0,0,0,0
"119",1005,"FF","forward",1,2,0,0,0,0,0,0,0,0,0
"120",1005,"FF","forward",1,2,0,0,0,0,0,0,0,0,0
"121",1006,"BB","backward",1,1,0,0,0,0,0,0,0,0,0
"122",1006,"BB","backward",1,1,2,2,2,2,2,2,0,0,0
"123",1006,"BB","backward",1,1,11,11,11,11,11,11,0,0,0
"124",1006,"BB","backward",2,1,4,4,3,4,3,4,0,0,0
"125",1006,"BB","backward",2,1,2,1,1,2,1,1,0,0,0
"126",1006,"BB","backward",2,1,5,4,4,5,4,4,0,0,0
"127",1006,"BB","backward",3,1,5,5,3,5,3,5,0,0,0
"128",1006,"BB","backward",3,1,0,0,0,0,0,0,0,0,0
"129",1006,"BB","backward",3,1,0,0,0,0,0,0,0,0,0
"130",1006,"BB","backward",4,1,2,2,0,2,0,2,0,0,0
"131",1006,"BB","backward",4,1,2,0,0,2,0,0,0,0,0
"132",1006,"BB","backward",4,1,1,0,0,1,0,0,0,0,0
"133",1006,"BB","backward",1,2,0,0,0,0,0,0,0,0,0
"134",1006,"BB","backward",1,2,2,2,0,2,0,2,0,0,0
"135",1006,"BB","backward",1,2,13,11,1,13,1,11,0,0,0
"136",1006,"BB","backward",2,2,11,11,5,11,5,11,0,0,0
"137",1006,"BB","backward",2,2,4,0,0,4,0,0,0,0,0
"138",1006,"BB","backward",2,2,4,0,0,4,0,0,0,0,0
"139",1006,"BB","backward",3,2,5,5,0,5,0,5,0,0,0
"140",1006,"BB","backward",3,2,3,0,0,3,0,0,0,0,0
"141",1006,"BB","backward",3,2,4,0,0,4,0,0,0,0,0
"142",1006,"BB","backward",4,2,3,3,0,3,0,3,0,0,0
"143",1006,"BB","backward",4,2,4,1,0,4,0,1,0,0,0
"144",1006,"BB","backward",4,2,1,0,0,1,0,0,0,0,0
"145",1007,"BF","backward",1,1,2,2,2,2,2,2,0,0,0
"146",1007,"BF","backward",1,1,3,3,3,1,3,3,0,0,0
"147",1007,"BF","backward",1,1,0,0,0,0,0,0,0,0,0
"148",1007,"BF","backward",2,1,4,4,4,4,4,4,0,0,0
"149",1007,"BF","backward",2,1,2,0,0,2,0,0,0,0,0
"150",1007,"BF","backward",2,1,1,0,0,1,0,0,0,0,0
"151",1007,"BF","backward",3,1,1,1,1,1,1,1,0,0,0
"152",1007,"BF","backward",3,1,2,1,1,2,1,1,0,0,0
"153",1007,"BF","backward",3,1,0,0,0,0,0,0,0,0,0
"154",1007,"BF","backward",4,1,2,2,2,2,2,2,0,0,0
"155",1007,"BF","backward",4,1,5,3,1,5,1,3,0,0,0
"156",1007,"BF","backward",4,1,0,0,0,0,0,0,0,0,0
"157",1007,"BF","forward",1,2,1,1,0,1,0,1,0,0,0
"158",1007,"BF","forward",1,2,3,2,0,3,0,2,0,0,0
"159",1007,"BF","forward",1,2,3,0,0,3,0,0,0,0,0
"160",1007,"BF","forward",2,2,2,2,0,2,0,2,0,0,0
"161",1007,"BF","forward",2,2,1,0,0,1,0,0,0,0,0
"162",1007,"BF","forward",2,2,1,0,0,1,0,0,0,0,0
"163",1007,"BF","forward",3,2,2,2,0,2,0,2,0,0,0
"164",1007,"BF","forward",3,2,0,0,0,0,0,0,0,0,0
"165",1007,"BF","forward",3,2,2,0,0,2,0,0,0,0,0
"166",1007,"BF","forward",4,2,1,1,0,1,0,1,0,0,0
"167",1007,"BF","forward",4,2,0,0,0,0,0,0,0,0,0
"168",1007,"BF","forward",4,2,0,0,0,0,0,0,0,0,0
"169",1008,"FF","forward",4,1,2,2,2,2,2,2,0,0,0
"170",1008,"FF","forward",4,1,2,2,2,0,0,0,2,2,2
"171",1008,"FF","forward",4,1,11,11,11,0,11,11,0,0,0
"172",1008,"FF","forward",3,1,2,2,2,0,0,0,2,2,2
"173",1008,"FF","forward",3,1,2,2,2,0,0,0,2,2,2
"174",1008,"FF","forward",3,1,10,10,10,10,10,10,0,0,0
"175",1008,"FF","forward",2,1,2,0,0,2,0,0,0,0,0
"176",1008,"FF","forward",2,1,0,0,0,0,0,0,0,0,0
"177",1008,"FF","forward",2,1,2,2,2,0,0,0,2,2,2
"178",1008,"FF","forward",1,1,0,0,0,0,0,0,0,0,0
"179",1008,"FF","forward",1,1,0,0,0,0,0,0,0,0,0
"180",1008,"FF","forward",1,1,0,0,0,0,0,0,0,0,0
"181",1008,"FF","forward",4,2,2,2,0,2,0,2,0,0,0
"182",1008,"FF","forward",4,2,2,2,2,0,0,0,2,2,2
"183",1008,"FF","forward",4,2,2,0,0,0,0,0,0,0,0
"184",1008,"FF","forward",3,2,2,2,0,2,0,2,0,0,0
"185",1008,"FF","forward",3,2,0,0,0,0,0,0,0,0,0
"186",1008,"FF","forward",3,2,2,0,0,0,0,0,2,0,0
"187",1008,"FF","forward",2,2,2,2,0,0,0,2,2,0,0
"188",1008,"FF","forward",2,2,2,0,0,0,0,0,2,0,0
"189",1008,"FF","forward",2,2,10,8,0,10,0,8,0,0,0
"190",1008,"FF","forward",1,2,0,0,0,0,0,0,0,0,0
"191",1008,"FF","forward",1,2,0,0,0,0,0,0,0,0,0
"192",1008,"FF","forward",1,2,0,0,0,0,0,0,0,0,0
"193",1009,"FF","forward",4,1,2,2,2,2,2,2,0,0,0
"194",1009,"FF","forward",4,1,2,2,2,2,2,2,0,0,0
"195",1009,"FF","forward",4,1,2,1,1,2,1,1,0,0,0
"196",1009,"FF","forward",3,1,2,2,2,2,2,2,0,0,0
"197",1009,"FF","forward",3,1,2,0,0,2,0,0,0,0,0
"198",1009,"FF","forward",3,1,2,0,0,2,0,0,0,0,0
"199",1009,"FF","forward",2,1,2,2,0,2,0,2,0,0,0
"200",1009,"FF","forward",2,1,2,2,2,2,2,2,0,0,0
"201",1009,"FF","forward",2,1,2,0,0,2,0,0,0,0,0
"202",1009,"FF","forward",1,1,2,2,0,2,0,2,0,0,0
"203",1009,"FF","forward",1,1,2,0,0,2,0,0,0,0,0
"204",1009,"FF","forward",1,1,2,0,0,2,0,0,0,0,0
"205",1009,"FF","forward",4,2,2,2,0,2,0,2,0,0,0
"206",1009,"FF","forward",4,2,2,0,0,2,0,0,0,0,0
"207",1009,"FF","forward",4,2,2,0,0,2,0,0,0,0,0
"208",1009,"FF","forward",3,2,2,2,0,2,0,2,0,0,0
"209",1009,"FF","forward",3,2,2,0,0,2,0,0,0,0,0
"210",1009,"FF","forward",3,2,2,0,0,2,0,0,0,0,0
"211",1009,"FF","forward",2,2,2,2,0,2,0,2,0,0,0
"212",1009,"FF","forward",2,2,2,0,0,2,0,0,0,0,0
"213",1009,"FF","forward",2,2,2,0,0,2,0,0,0,0,0
"214",1009,"FF","forward",1,2,2,2,0,2,0,2,0,0,0
"215",1009,"FF","forward",1,2,2,0,0,2,0,0,0,0,0
"216",1009,"FF","forward",1,2,2,0,0,2,0,0,0,0,0
"217",1010,"BF","backward",1,1,3,3,3,3,3,3,0,0,0
"218",1010,"BF","backward",1,1,3,3,3,2,3,3,0,0,0
"219",1010,"BF","backward",1,1,2,1,1,2,1,1,0,0,0
"220",1010,"BF","backward",2,1,3,3,0,3,0,3,0,0,0
"221",1010,"BF","backward",2,1,2,1,1,2,1,1,0,0,0
"222",1010,"BF","backward",2,1,2,0,0,2,0,0,0,0,0
"223",1010,"BF","backward",3,1,3,3,0,3,0,3,0,0,0
